INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTIDX,NIFTY,08-Jul-2021,16450.0,PE,0.0,0.0,0.0,1615.15,1804.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,MINDTREE,24-Jun-2021,1720.0,CE,0.0,0.0,0.0,355.65,467.4,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,GUJGASLTD,27-May-2021,680.0,PE,0.0,0.0,0.0,177.25,161.35,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,BRITANNIA,27-May-2021,3700.0,PE,0.0,0.0,0.0,276.25,277.9,0.0,0.0,4600.0,0.0,12-May-2021
OPTSTK,HDFCLIFE,24-Jun-2021,640.0,PE,0.0,0.0,0.0,44.25,25.5,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,NIFTY,03-Jun-2021,14750.0,PE,0.0,0.0,0.0,577.15,408.4,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,FINNIFTY,17-Jun-2021,12500.0,CE,0.0,0.0,0.0,3063.2,3074.8,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,GUJGASLTD,24-Jun-2021,520.0,CE,0.0,0.0,0.0,46.35,32.3,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,NIFTY,01-Jul-2021,14150.0,PE,0.0,0.0,0.0,536.35,327.9,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,PETRONET,24-Jun-2021,320.0,CE,0.0,0.0,0.0,0.8,0.45,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,SHREECEM,24-Jun-2021,32000.0,CE,0.0,0.0,0.0,969.1,242.15,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,ACC,24-Jun-2021,1400.0,CE,0.0,0.0,0.0,472.15,489.6,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,NIFTY,24-Jun-2021,16250.0,PE,0.0,0.0,0.0,1623.3,1600.55,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,HAVELLS,27-May-2021,870.0,CE,0.0,0.0,0.0,323.45,140.95,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,HDFCAMC,27-May-2021,3500.0,CE,0.0,0.0,0.0,96.5,0.55,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,BAJAJFINSV,29-Jul-2021,8000.0,PE,0.0,0.0,0.0,137.55,107.5,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,SRTRANSFIN,27-May-2021,1120.0,CE,0.0,0.0,0.0,349.9,234.65,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,IOC,24-Jun-2021,72.0,PE,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,AUBANK,24-Jun-2021,700.0,PE,0.0,0.0,0.0,3.7,5.45,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,BANKNIFTY,01-Jul-2021,36400.0,CE,0.0,0.0,0.0,1327.6,665.35,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,UPL,29-Jul-2021,420.0,PE,0.0,0.0,0.0,5.25,1.35,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,AMARAJABAT,27-May-2021,1000.0,CE,0.1,2.95,0.1,2.2,2.2,67.0,671.51,40000.0,38000.0,12-May-2021
OPTSTK,TITAN,27-May-2021,1140.0,CE,0.0,0.0,0.0,323.65,316.7,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,RECLTD,27-May-2021,185.0,CE,0.0,0.0,0.0,0.1,0.05,0.0,0.0,36000.0,0.0,12-May-2021
OPTSTK,SUNPHARMA,27-May-2021,550.0,CE,0.0,0.0,0.0,146.3,153.7,0.0,0.0,4200.0,0.0,12-May-2021
OPTSTK,PAGEIND,24-Jun-2021,30000.0,CE,0.0,0.0,0.0,2469.85,1084.0,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,BANKNIFTY,01-Jul-2021,35800.0,CE,0.0,0.0,0.0,1522.45,799.05,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,RBLBANK,27-May-2021,255.0,PE,0.0,0.0,0.0,39.75,67.15,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,SUNTV,24-Jun-2021,360.0,CE,0.0,0.0,0.0,103.85,168.6,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,MARICO,24-Jun-2021,245.0,PE,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,NATIONALUM,24-Jun-2021,53.0,CE,0.0,0.0,0.0,5.15,22.35,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,BANKBARODA,24-Jun-2021,102.5,PE,0.0,0.0,0.0,33.1,25.6,0.0,0.0,0.0,0.0,12-May-2021
FUTSTK,NAVINFLUOR,27-May-2021,0.0,XX,3182.0,3241.35,3172.75,3210.3,3210.3,690.0,4982.19,478575.0,11925.0,12-May-2021
OPTSTK,IOC,27-May-2021,108.0,CE,3.1,3.75,1.95,2.0,2.0,357.0,2570.08,591500.0,-19500.0,12-May-2021
OPTSTK,ACC,24-Jun-2021,1980.0,PE,0.0,0.0,0.0,208.55,148.9,0.0,0.0,0.0,0.0,12-May-2021
FUTSTK,HEROMOTOCO,24-Jun-2021,0.0,XX,2868.05,2872.2,2834.05,2857.25,2857.25,147.0,1256.84,215400.0,4200.0,12-May-2021
OPTSTK,SAIL,29-Jul-2021,147.5,PE,0.0,0.0,0.0,39.25,26.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,HDFCBANK,27-May-2021,1640.0,PE,0.0,0.0,0.0,170.0,239.05,0.0,0.0,550.0,0.0,12-May-2021
OPTSTK,COFORGE,24-Jun-2021,3150.0,CE,0.0,0.0,0.0,199.3,432.1,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,AMARAJABAT,29-Jul-2021,1090.0,PE,0.0,0.0,0.0,283.85,282.5,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,BANKNIFTY,08-Jul-2021,33200.0,CE,0.0,0.0,0.0,2108.85,1782.0,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,BANKNIFTY,12-May-2021,28700.0,CE,0.0,0.0,0.0,4492.75,32452.3,0.0,0.0,25.0,0.0,12-May-2021
OPTSTK,EXIDEIND,27-May-2021,195.0,PE,12.3,12.3,12.3,12.3,10.85,1.0,7.46,68400.0,-3600.0,12-May-2021
OPTSTK,VEDL,24-Jun-2021,245.0,PE,0.0,0.0,0.0,39.7,7.7,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,GLENMARK,27-May-2021,370.0,PE,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,PAGEIND,24-Jun-2021,31000.0,PE,0.0,0.0,0.0,3602.5,3455.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,WIPRO,24-Jun-2021,490.0,CE,0.0,0.0,0.0,8.3,39.7,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,MGL,24-Jun-2021,1020.0,CE,0.0,0.0,0.0,175.6,139.95,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,GRASIM,27-May-2021,1660.0,PE,0.0,0.0,0.0,377.15,247.4,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,FINNIFTY,08-Jul-2021,15600.0,PE,0.0,0.0,0.0,909.85,925.4,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,DRREDDY,27-May-2021,4550.0,PE,0.0,0.0,0.0,48.0,2.3,0.0,0.0,125.0,0.0,12-May-2021
OPTSTK,BANDHANBNK,27-May-2021,230.0,PE,0.75,0.8,0.5,0.65,0.65,25.0,103.78,108000.0,-14400.0,12-May-2021
OPTSTK,TORNTPOWER,24-Jun-2021,335.0,PE,0.0,0.0,0.0,5.45,0.65,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,BANKNIFTY,08-Jul-2021,36500.0,CE,0.0,0.0,0.0,975.1,755.25,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,PAGEIND,24-Jun-2021,23500.0,PE,0.0,0.0,0.0,532.7,221.9,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,M&MFIN,27-May-2021,240.0,CE,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,PAGEIND,29-Jul-2021,28000.0,CE,0.0,0.0,0.0,3853.75,2548.5,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,MRF,24-Jun-2021,86500.0,CE,0.0,0.0,0.0,4766.95,1231.85,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,COFORGE,24-Jun-2021,1700.0,PE,0.0,0.0,0.0,14.55,0.15,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,MFSL,27-May-2021,760.0,PE,0.0,0.0,0.0,48.5,3.95,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,MANAPPURAM,24-Jun-2021,142.5,CE,0.0,0.0,0.0,21.3,18.05,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,SIEMENS,27-May-2021,1940.0,PE,46.8,47.0,17.6,35.9,35.9,258.0,1395.59,10725.0,6875.0,12-May-2021
OPTSTK,RAMCOCEM,24-Jun-2021,1100.0,PE,0.0,0.0,0.0,169.65,168.25,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,MRF,24-Jun-2021,97500.0,CE,0.0,0.0,0.0,1921.4,190.6,0.0,0.0,0.0,0.0,12-May-2021
