INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,DALBHARAT,29-Mar-2023,1900.0,PE,0.0,0.0,0.0,170.45,91.65,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,SRF,29-Mar-2023,1880.0,CE,0.0,0.0,0.0,460.75,365.7,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,ASHOKLEY,29-Mar-2023,155.0,PE,8.1,8.65,8.1,8.65,11.1,3.0,24.49,60000.0,10000.0,13-Feb-2023
OPTSTK,FSL,29-Mar-2023,113.0,PE,0.2,8.05,0.2,2.9,2.9,28.0,170.01,0.0,0.0,13-Feb-2023
OPTSTK,GAIL,29-Mar-2023,87.0,PE,0.0,0.0,0.0,2.65,1.25,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,METROPOLIS,29-Mar-2023,1040.0,CE,0.0,0.0,0.0,315.65,287.85,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,L&TFH,29-Mar-2023,78.0,CE,0.0,0.0,0.0,13.1,16.95,0.0,0.0,0.0,0.0,13-Feb-2023
FUTSTK,ULTRACEMCO,29-Mar-2023,0.0,XX,7290.0,7302.95,7226.6,7249.95,7249.95,183.0,1327.61,65100.0,3500.0,13-Feb-2023
OPTSTK,PEL,29-Mar-2023,680.0,PE,0.0,0.0,0.0,21.45,3.75,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,PIDILITIND,29-Mar-2023,2980.0,PE,0.0,0.0,0.0,373.6,652.9,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,BHARTIARTL,29-Mar-2023,660.0,CE,0.0,0.0,0.0,174.75,116.2,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,LICHSGFIN,29-Mar-2023,480.0,CE,0.0,0.0,0.0,15.8,1.0,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,MCX,29-Mar-2023,1720.0,PE,0.0,0.0,0.0,216.95,301.3,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,RECLTD,29-Mar-2023,101.0,CE,0.0,0.0,0.0,17.9,14.8,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,VOLTAS,29-Mar-2023,760.0,CE,0.0,0.0,0.0,85.6,103.7,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,JSWSTEEL,23-Feb-2023,790.0,PE,0.0,0.0,0.0,61.6,72.45,0.0,0.0,4050.0,0.0,13-Feb-2023
OPTSTK,ICICIBANK,23-Feb-2023,900.0,CE,2.55,2.6,1.7,1.75,1.75,3121.0,19704.61,4674600.0,-235900.0,13-Feb-2023
OPTSTK,RECLTD,23-Feb-2023,127.75,PE,0.0,0.0,0.0,26.35,13.55,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,GNFC,23-Feb-2023,620.0,PE,0.0,0.0,0.0,82.3,91.3,0.0,0.0,16900.0,0.0,13-Feb-2023
OPTSTK,INDIGO,23-Feb-2023,1800.0,PE,5.2,5.25,3.55,4.4,4.4,427.0,2311.24,159300.0,-14100.0,13-Feb-2023
OPTSTK,TATASTEEL,23-Feb-2023,128.0,PE,0.0,0.0,0.0,15.55,19.1,0.0,0.0,209000.0,0.0,13-Feb-2023
OPTSTK,DEEPAKNTR,23-Feb-2023,2060.0,CE,0.0,0.0,0.0,4.7,1.0,0.0,0.0,750.0,0.0,13-Feb-2023
OPTSTK,COALINDIA,23-Feb-2023,174.75,PE,0.05,0.05,0.05,0.05,0.05,2.0,14.68,462000.0,4200.0,13-Feb-2023
OPTSTK,SBICARD,23-Feb-2023,790.0,CE,3.25,3.25,1.75,2.0,2.0,213.0,1349.91,116000.0,24800.0,13-Feb-2023
OPTSTK,SAIL,23-Feb-2023,73.0,CE,0.0,0.0,0.0,14.45,10.65,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,SBICARD,23-Feb-2023,890.0,CE,0.0,0.0,0.0,32.45,0.05,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,ASHOKLEY,23-Feb-2023,127.5,PE,0.0,0.0,0.0,0.1,0.05,0.0,0.0,205000.0,0.0,13-Feb-2023
OPTSTK,HDFCLIFE,23-Feb-2023,615.0,PE,0.0,0.0,0.0,60.6,99.35,0.0,0.0,2200.0,0.0,13-Feb-2023
OPTSTK,INFY,23-Feb-2023,1400.0,PE,0.75,0.9,0.6,0.8,0.8,279.0,1563.25,411200.0,8000.0,13-Feb-2023
OPTSTK,BOSCHLTD,23-Feb-2023,19750.0,CE,9.95,9.95,9.95,9.95,3.3,1.0,9.87,0.0,-50.0,13-Feb-2023
OPTSTK,NATIONALUM,23-Feb-2023,91.0,PE,0.0,0.0,0.0,9.75,12.05,0.0,0.0,45000.0,0.0,13-Feb-2023
OPTSTK,HONAUT,23-Feb-2023,34000.0,PE,0.0,0.0,0.0,288.2,8.35,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,PFC,23-Feb-2023,141.0,PE,1.45,4.15,1.45,3.1,3.1,353.0,3152.08,843200.0,471200.0,13-Feb-2023
OPTSTK,TATAMOTORS,23-Feb-2023,485.0,PE,0.0,0.0,0.0,45.7,44.95,0.0,0.0,19950.0,0.0,13-Feb-2023
OPTSTK,HCLTECH,23-Feb-2023,1230.0,CE,0.5,0.6,0.5,0.6,0.6,50.0,430.67,51100.0,-28000.0,13-Feb-2023
OPTIDX,NIFTY,23-Feb-2023,20150.0,PE,0.0,0.0,0.0,1635.85,2340.95,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,FSL,23-Feb-2023,92.5,CE,0.0,0.0,0.0,20.25,27.15,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,ACC,23-Feb-2023,3040.0,PE,0.0,0.0,0.0,561.5,1211.1,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,HDFCLIFE,23-Feb-2023,475.0,CE,43.4,43.4,43.4,43.4,41.6,1.0,5.7,5500.0,0.0,13-Feb-2023
OPTSTK,BEL,23-Feb-2023,120.0,PE,0.0,0.0,0.0,25.55,25.15,0.0,0.0,39900.0,0.0,13-Feb-2023
OPTSTK,JKCEMENT,23-Feb-2023,2250.0,PE,0.0,0.0,0.0,22.6,0.05,0.0,0.0,0.0,0.0,13-Feb-2023
OPTSTK,ABFRL,23-Feb-2023,320.0,CE,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26000.0,0.0,13-Feb-2023
OPTSTK,CUMMINSIND,23-Feb-2023,1680.0,CE,10.35,11.2,3.8,6.25,6.25,669.0,6774.99,81600.0,-53400.0,13-Feb-2023
OPTIDX,NIFTY,23-Feb-2023,19100.0,CE,1.8,2.6,1.65,2.45,2.45,914.0,8729.75,90150.0,6800.0,13-Feb-2023
OPTSTK,ADANIPORTS,23-Feb-2023,410.0,PE,1.95,3.7,1.05,1.7,1.7,257.0,663.1,63125.0,-23125.0,13-Feb-2023
OPTSTK,CANBK,23-Feb-2023,285.0,CE,14.45,14.5,7.25,7.45,7.45,628.0,4968.71,618300.0,340200.0,13-Feb-2023
